"llave","folio_sist","tipo_resid","num_resid","id_denue","nombre_establecimiento","personas_ocupadas","tipo_actividad","tipo_unidad_economica","sector_scian"
"75-88-19-43","a1aab12e404740e8bc0ca06bcb53ac65",3,1,497861,"NA","NA","NA","NA","NA"
"75-88-19-43","a1aab12e404740e8bc0ca06bcb53ac65",5,1,497861,"NA","NA","NA","NA","NA"
"57-21-47-06","abdfff92309f48b48d5d170ac43c432b",3,1,9480,"SUPER POLLERIAS KILO POLLO","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"45-09-09-57","a64f864a2448412b96b4df92169f805b",1,1,9468,"FRUTERÍA DON BOSCO","0 a 5 personas","Comercio al por menor de frutas y verduras frescas","Fijo","Terciario"
"24-83-47-64","b747f0353a5f4b28836986150022b095",3,3,6709385,"OBRADOR VIÑEDOS","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"00-92-24-77","bcbf247742134c8982a15c15fdf9c0ef",1,1,25611,"TENABRI S DE RL DE CV","0 a 5 personas","Cultivo de frutas / vegetales","Fijo","Primario"
"23-97-42-63","cff52c5c9a094e99b0b6ed2a8c3b7aff",1,1,1819,"CENDI OLIVARES SANTANA","31 a 50 personas","Guarderías del sector privado o público","Fijo","Terciario"
"23-97-42-63","cff52c5c9a094e99b0b6ed2a8c3b7aff",4,1,1819,"CENDI OLIVARES SANTANA","31 a 50 personas","Guarderías del sector privado o público","Fijo","Terciario"
"67-37-55-52","c1e69af3d7f84744b9d45ba7db94f01c",1,2,34165,"POLLERÍA ARA","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"67-37-55-52","c1e69af3d7f84744b9d45ba7db94f01c",3,1,34165,"POLLERÍA ARA","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"24-69-38-16","d42fee3376704b98a4fbb89433bc7454",1,1,35672,"VENTA DE MOLE EN POLVO SIN NOMBRE","0 a 5 personas","Industria alimentaria","Fijo","Secundario"
"24-69-38-16","d42fee3376704b98a4fbb89433bc7454",2,3,35672,"VENTA DE MOLE EN POLVO SIN NOMBRE","0 a 5 personas","Industria alimentaria","Fijo","Secundario"
"40-37-10-26","bec2e02e479f4c3b88addec27ab864f7",1,1,13347,"ESTANCIA DE BIENESTAR INFANTIL ISSSSPEA","51 a 100 personas","Guarderías del sector privado o público","Fijo","Terciario"
"40-37-10-26","bec2e02e479f4c3b88addec27ab864f7",5,1,13347,"ESTANCIA DE BIENESTAR INFANTIL ISSSSPEA","51 a 100 personas","Guarderías del sector privado o público","Fijo","Terciario"
"58-77-79-42","d06af6f3a0554c81b2854aad1c2547c3",2,1,12227,"ESPECIAS MOY","0 a 5 personas","Comercio al por mayor de semillas y granos alimenticios, especias, chiles secos, leche y otros productos lácteos ","Fijo","Terciario"
"14-33-22-22","c4924dc6464247c39da44ccee5a6970c",1,1,6281950,"CHEDRAUI AGUASCALIENTES ASUNCIÓN","101 a 250 personas","Comercio al por menor en supermercados","Fijo","Terciario"
"14-33-22-22","c4924dc6464247c39da44ccee5a6970c",3,1,6281950,"CHEDRAUI AGUASCALIENTES ASUNCIÓN","101 a 250 personas","Comercio al por menor en supermercados","Fijo","Terciario"
"13-35-20-12","da3b7c37368a4e6c9f34941ca0d2e76a",2,1,12283,"CREMERIA DE ALBA AGROPECUARIO S DE RL DE CV","11 a 30 personas","Comercio al por mayor de semillas y granos alimenticios, especias, chiles secos, leche y otros productos lácteos ","Fijo","Terciario"
"13-35-20-12","da3b7c37368a4e6c9f34941ca0d2e76a",4,1,12283,"CREMERIA DE ALBA AGROPECUARIO S DE RL DE CV","11 a 30 personas","Comercio al por mayor de semillas y granos alimenticios, especias, chiles secos, leche y otros productos lácteos ","Fijo","Terciario"
"73-57-70-18","e532888b76c2445eae4eec9b5b2cc958",3,1,6281404,"PRODUCTORA AVICOLA DEL CENTRO","6 a 10 personas","Comercio al por mayor de carnes","Fijo","Terciario"
"14-07-53-67","0735e088014d4c52a6987c050f8d53b7",1,1,99999432,"NA","NA","NA","NA","NA"
"39-41-44-09","e62edcc64eb3428497151064dd4ea67a",1,1,9000,"FRUTERÍA PÉREZ","0 a 5 personas","Comercio al por menor de frutas y verduras frescas","Fijo","Terciario"
"49-74-24-12","01a975d0dae644d596e6817ad486e57c",5,3,4899,"ESTANCIA DE BIENESTAR INFANTIL 21","101 a 250 personas","Guarderías del sector privado o público","Fijo","Terciario"
"43-11-23-41","07525eca43bb4e9b9721e775c4734cf7",1,1,99999435,"NA","NA","NA","NA","NA"
"83-39-13-04","04b965f9cb8f4f5cb1b58c8ab4a2e5dd",1,1,8225,"RESTAURANTE KIMURA","0 a 5 personas","Restaurantes / servicio de preparación de alimentos / Cafeterías y similares","Fijo","Terciario"
"95-15-08-97","0ac1c503ded944d2bc280d4961ae0dfc",1,1,99999133,"NA","NA","NA","NA","NA"
"32-04-68-91","0e5dcf441b06430296cf2dbd91052e96",1,1,8974,"CARNES TEPEYAC","31 a 50 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"32-04-68-91","0e5dcf441b06430296cf2dbd91052e96",4,2,8974,"CARNES TEPEYAC","31 a 50 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"13-89-84-35","473ea3f44567492f9a50d38100d0762d",1,3,14502,"FRUTERÍA EL CALÍ","0 a 5 personas","Comercio al por menor de frutas y verduras frescas","Fijo","Terciario"
"01-94-17-72","06646be259914374be344401f7fa2113",5,1,40833,"TACOS DE CANASTA SI SEÑOR","0 a 5 personas","Restaurantes / servicio de preparación de alimentos / Cafeterías y similares","Fijo","Terciario"
"29-98-77-65","120f5942ede34c539cbe4b8b10245b50",2,2,569,"PANADERÍA DON EMILIANO","6 a 10 personas","Panificación tradicional / Elaboración de galletas y pastas para sopa ","Fijo","Secundario"
"01-28-97-08","1ffa0c97708342d78431cc7dedd9c607",1,1,99999134,"NA","NA","NA","NA","NA"
"69-55-14-11","32889765b21440339bceee5a9f8dd6ff",1,1,99999537,"NA","NA","NA","NA","NA"
"70-85-90-36","25ad39bc3dc348309e0f3426ab0f0df6",1,2,99999529,"NA","NA","NA","NA","NA"
"71-80-89-44","218c6a9a6559454aadd89c2bd579a6bf",3,1,12247,"ATLÁNTICO","0 a 5 personas","Comercio al por menor de pescados y mariscos","Fijo","Terciario"
"22-10-73-98","3aa84832399d449db3923207e95ab925",5,1,99999331,"NA","NA","NA","NA","NA"
"48-47-20-51","2a48fcc59e5c4bc0a79e5da15e60e438",1,1,99999427,"NA","NA","NA","NA","NA"
"26-48-70-91","382779ea49d24189b9e54c83ea1bc834",4,1,6282325,"OXXO SUC. 50AUA-ABELARDORODRIGUEZAGU","6 a 10 personas","Comercio al por menor en minisupers","Fijo","Terciario"
"24-67-35-81","3be4454ed92e4e05b69cc9c5ce077a9b",1,1,41280,"FRUTERÍA CALIFORNIA","0 a 5 personas","Comercio al por menor de frutas y verduras frescas","Fijo","Terciario"
"24-67-35-81","3be4454ed92e4e05b69cc9c5ce077a9b",3,1,41280,"FRUTERÍA CALIFORNIA","0 a 5 personas","Comercio al por menor de frutas y verduras frescas","Fijo","Terciario"
"47-44-56-58","3c9b32cc7a994ad2aaa37f9c56cf27f7",1,1,8292,"SEMILLAS Y CEREALES GARCÍA","0 a 5 personas","Comercio al por menor de semillas y granos alimenticios, especias y chiles secos","Fijo","Terciario"
"88-80-45-21","3dcb3ee319834e3ab9ff5b7d82b022b6",1,1,99999329,"NA","NA","NA","NA","NA"
"65-31-27-49","48238198b9c14622bc55ec80720660b6",1,1,27688,"RESTAURANTE SHING WANG","0 a 5 personas","Restaurantes / servicio de preparación de alimentos / Cafeterías y similares","Fijo","Terciario"
"63-98-73-71","569f6a1be8a2404f89b947e8aa977f20",1,1,99999426,"NA","NA","NA","NA","NA"
"70-15-01-95","3e0454fc3af64146b5859f757b7ac156",1,1,8295,"RESTAURANTE CARNITAS MORA","11 a 30 personas","Restaurantes / servicio de preparación de alimentos / Cafeterías y similares","Fijo","Terciario"
"70-15-01-95","3e0454fc3af64146b5859f757b7ac156",2,1,8295,"RESTAURANTE CARNITAS MORA","11 a 30 personas","Restaurantes / servicio de preparación de alimentos / Cafeterías y similares","Fijo","Terciario"
"19-37-12-46","5b9fd12ff2084b83b3c667c379c8be7a",3,1,14490,"CARNICERÍA EL 4","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"03-05-58-94","58508653032d427990bea8c7b490a491",1,1,28013,"MINISÚPER DON BARATÓN","0 a 5 personas","Comercio al por menor en minisupers","Fijo","Terciario"
"54-02-77-84","5554630de12b4c14bd01e13b3199840b",3,1,6281495,"LA GRANJA DE MANOLO","11 a 30 personas","Comercio al por mayor de carnes","Fijo","Terciario"
"67-66-26-98","407802c9052b4a7ea064d07e9ce8b6e3",1,2,5762,"SÚPER MARKET LAS FUENTES","11 a 30 personas","Comercio al por menor en minisupers","Fijo","Terciario"
"39-31-37-02","5e750539241d459fbace3923813079f0",1,1,99999431,"NA","NA","NA","NA","NA"
"26-48-02-56","589f733ce0164ce0a9a691c442993bd1",1,1,6282167,"STAR MEDICA SA DE CV","101 a 250 personas","Hospitales generales del sector privado o público","Fijo","Terciario"
"26-48-02-56","589f733ce0164ce0a9a691c442993bd1",5,1,6282167,"STAR MEDICA SA DE CV","101 a 250 personas","Hospitales generales del sector privado o público","Fijo","Terciario"
"86-98-20-49","419de24cb06a48acbf10edc71ef4876e",3,1,14501,"POLLERÍA MARTÍNEZ","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"78-08-56-55","6129d0963c1748bd83f0147956e94b2c",1,2,937,"LONCHERÍA BOULEVARD","0 a 5 personas","Restaurantes / servicio de preparación de alimentos / Cafeterías y similares","Fijo","Terciario"
"78-08-56-55","6129d0963c1748bd83f0147956e94b2c",5,1,937,"LONCHERÍA BOULEVARD","0 a 5 personas","Restaurantes / servicio de preparación de alimentos / Cafeterías y similares","Fijo","Terciario"
"77-74-10-53","6187b8c4c0fe47a493b63448174ae004",5,1,34261,"MEAT & FISH","0 a 5 personas","Comercio al por menor de pescados y mariscos","Fijo","Terciario"
"39-20-84-48","628ae84cf23945da90ffd52772ffaf25",1,1,99999528,"NA","NA","NA","NA","NA"
"23-96-89-48","65622fc1d42b46ec94e1e533f9811bac",1,1,99999434,"NA","NA","NA","NA","NA"
"74-52-96-60","8857e5b4b4a34d97b0fc056002848515",1,1,16543,"FRUTERÍA Y VERDULERÍA LA GÜERA","0 a 5 personas","Comercio al por menor de frutas y verduras frescas","Fijo","Terciario"
"53-98-17-94","77f9f66aa8e948ffa2df0aa7d9946aca",1,1,6758020,"VINÍCOLA SANTA ELENA DE AGUASCALIENTES SA DE CV","11 a 30 personas","Bebidas","Fijo","Secundario"
"53-98-17-94","77f9f66aa8e948ffa2df0aa7d9946aca",2,1,6758020,"VINÍCOLA SANTA ELENA DE AGUASCALIENTES SA DE CV","11 a 30 personas","Bebidas","Fijo","Secundario"
"60-39-94-75","65f14215ce354a648d944a1b26388e8e",3,1,36357,"POLLERÍA EL GÜUERO","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"20-14-05-33","7d660897386f4f139c3923ac964c6e03",5,2,16469,"PASTELERÍA SAN ÁNGEL","0 a 5 personas","Panificación tradicional / Elaboración de galletas y pastas para sopa ","Fijo","Secundario"
"89-14-96-44","78490e7890d34bb6b026b459ed0cb9aa",1,1,551,"TORTILLERÍA LA PLANTA","0 a 5 personas","Elaboración de tortillas de maíz y molienda de nixtamal","Fijo","Secundario"
"89-14-96-44","78490e7890d34bb6b026b459ed0cb9aa",2,1,551,"TORTILLERÍA LA PLANTA","0 a 5 personas","Elaboración de tortillas de maíz y molienda de nixtamal","Fijo","Secundario"
"06-88-03-86","6e951b960a744281bbcc9e8122194798",1,1,99999535,"NA","NA","NA","NA","NA"
"27-28-56-37","807e4b5284374d7cb583837664a364ed",1,1,99999424,"NA","NA","NA","NA","NA"
"62-18-97-69","8f1154323d83496dbe9b46ebc1e63ee1",3,1,4510,"CREMERÍA LAS FLORES","6 a 10 personas","Comercio al por menor de leche, otros productos lácteos y embutidos","Fijo","Terciario"
"62-18-97-69","8f1154323d83496dbe9b46ebc1e63ee1",4,1,4510,"CREMERÍA LAS FLORES","6 a 10 personas","Comercio al por menor de leche, otros productos lácteos y embutidos","Fijo","Terciario"
"52-81-44-27","6e994d425a7e466f8c692362ae2c838a",3,1,51657,"CARNICERÍA LALO","0 a 5 personas","Comercio al por menor de carnes rojas / aves ","Fijo","Terciario"
"20-39-37-73","79ec66871bec427caea85b9c1ed482d9",3,2,29226,"ACUÍCOLA SANTA ROSA","0 a 5 personas","Comercio al por menor de pescados y mariscos","Fijo","Terciario"
"84-57-22-39","8541b60d9cd74da0ac8d4fc90aae724e",5,1,99999532,"NA","NA","NA","NA","NA"
"15-59-22-15","9269591b3ea1407fbf1107e42892b167",3,1,19033,"PESCADERÍA PUERTO VALLARTA","0 a 5 personas","Comercio al por menor de pescados y mariscos","Fijo","Terciario"
"18-90-43-80","929bc7da4c964c1bbfbd939c4169e468",1,1,48987,"TACOS EL PATRÓN","0 a 5 personas","Restaurantes / servicio de preparación de alimentos / Cafeterías y similares","Fijo","Terciario"
"44-68-18-18","7b3125d7dcfe482f8fbddcd56ad7af48",5,0,40243,"SEMILLAS Y CEREALES LA HORMIGUITA","0 a 5 personas","Comercio al por menor de semillas y granos alimenticios, especias y chiles secos","Fijo","Terciario"
"82-35-97-71","b8b42e0212e440769a3872a0649768ee",1,1,99999433,"NA","NA","NA","NA","NA"
"13-19-43-16","a462a10fa2d149f489030ac63d11bf12",5,1,6311718,"BA EXPRESS FRACC DEL VALLE 5409","11 a 30 personas","Comercio al por menor en supermercados","Fijo","Terciario"
"87-92-33-12","9337cb1d4d5e4e2ca771488176f01c9c",1,2,99999538,"NA","NA","NA","NA","NA"
"51-25-43-27","bd8c47585b484cf2b74f26de164abb71",1,1,99999534,"NA","NA","NA","NA","NA"
"60-62-73-58","981dfa4715324a048a3563eda0ed81dd",1,1,99999540,"NA","NA","NA","NA","NA"
"25-18-18-25","a5656814aadc403ca652dbd0b8402d4d",1,2,99999330,"NA","NA","NA","NA","NA"
"80-19-48-86","a5f4be7db1ad4d51bddceb1d97abd155",1,1,99999539,"NA","NA","NA","NA","NA"
"84-05-91-99","a9a24274d8fa4418a33937ef99cab032",5,"NA",6758020,"VINÍCOLA SANTA ELENA DE AGUASCALIENTES SA DE CV","11 a 30 personas","Bebidas","Fijo","Secundario"
"99-14-54-89","af5b108067c1450ba18aa896465cd922",5,1,99999437,"NA","NA","NA","NA","NA"
"31-64-28-56","c3d36b0834c34d238c52b3ff1f6c6961",1,1,5688,"CENTRO MÉDICO LA SALUD","31 a 50 personas","Hospitales generales del sector privado o público","Fijo","Terciario"
"31-64-28-56","c3d36b0834c34d238c52b3ff1f6c6961",2,1,5688,"CENTRO MÉDICO LA SALUD","31 a 50 personas","Hospitales generales del sector privado o público","Fijo","Terciario"
"31-64-28-56","c3d36b0834c34d238c52b3ff1f6c6961",3,1,5688,"CENTRO MÉDICO LA SALUD","31 a 50 personas","Hospitales generales del sector privado o público","Fijo","Terciario"
"31-64-28-56","c3d36b0834c34d238c52b3ff1f6c6961",4,1,5688,"CENTRO MÉDICO LA SALUD","31 a 50 personas","Hospitales generales del sector privado o público","Fijo","Terciario"
"31-64-28-56","c3d36b0834c34d238c52b3ff1f6c6961",5,1,5688,"CENTRO MÉDICO LA SALUD","31 a 50 personas","Hospitales generales del sector privado o público","Fijo","Terciario"
"22-93-40-85","c5f2b90ab6754be19747c2b28f1320ce",5,1,7565,"LA CASA ROSA","0 a 5 personas","Restaurantes / servicio de preparación de alimentos / Cafeterías y similares","Fijo","Terciario"
"48-73-84-21","a1465091ada74e7daee07a61ce7bda3b",1,2,34567,"FRUTERÍA LOS COMPADRES","0 a 5 personas","Comercio al por menor de frutas y verduras frescas","Fijo","Terciario"
"48-73-84-21","a1465091ada74e7daee07a61ce7bda3b",5,1,34567,"FRUTERÍA LOS COMPADRES","0 a 5 personas","Comercio al por menor de frutas y verduras frescas","Fijo","Terciario"
"19-67-71-65","b139c155fe0a4e0c9e1148dbdc456530",2,2,41438,"TORTILLERÍA EL ANDADOR","0 a 5 personas","Elaboración de tortillas de maíz y molienda de nixtamal","Fijo","Secundario"
"27-42-58-51","df06179182c54521a1e4946a077a270d",1,1,99999428,"NA","NA","NA","NA","NA"
"17-23-45-49","a315ffdb0625489495523aaf36dd9a71",1,1,6282263,"OXXO SUC. 50PEE-PERALES AGU","6 a 10 personas","Comercio al por menor en minisupers","Fijo","Terciario"
"17-23-45-49","a315ffdb0625489495523aaf36dd9a71",5,1,6282263,"OXXO SUC. 50PEE-PERALES AGU","6 a 10 personas","Comercio al por menor en minisupers","Fijo","Terciario"
"15-06-32-21","e1b86da4db364a87b747f1b1f8c46deb",1,1,6875974,"DURAZNOS MONTE REAL","31 a 50 personas","Cultivo de frutas / vegetales","Fijo","Primario"
"87-67-17-86","d0a1f01dfea14f27ba3c66147db8583a",1,2,41320,"ESTANCIA INFANTIL PEQUEÑOS TRAVIESOS","31 a 50 personas","Guarderías del sector privado o público","Fijo","Terciario"
"87-67-17-86","d0a1f01dfea14f27ba3c66147db8583a",2,"NA",41320,"ESTANCIA INFANTIL PEQUEÑOS TRAVIESOS","31 a 50 personas","Guarderías del sector privado o público","Fijo","Terciario"
"87-67-17-86","d0a1f01dfea14f27ba3c66147db8583a",3,"NA",41320,"ESTANCIA INFANTIL PEQUEÑOS TRAVIESOS","31 a 50 personas","Guarderías del sector privado o público","Fijo","Terciario"
"87-67-17-86","d0a1f01dfea14f27ba3c66147db8583a",5,"NA",41320,"ESTANCIA INFANTIL PEQUEÑOS TRAVIESOS","31 a 50 personas","Guarderías del sector privado o público","Fijo","Terciario"
"69-25-05-13","e22f7281317049f3898f95329b3b768c",1,1,10355,"CLÍNICA HOSPITAL NÚMERO 2","251 y más personas","Hospitales generales del sector privado o público","Fijo","Terciario"
"66-96-44-94","d1d2728ce78a4c2abcb3da3f5720bf90",1,1,6280911,"LA HUERTA","251 y más personas","Industria alimentaria","Fijo","Secundario"
"66-96-44-94","d1d2728ce78a4c2abcb3da3f5720bf90",2,1,6280911,"LA HUERTA","251 y más personas","Industria alimentaria","Fijo","Secundario"
"66-96-44-94","d1d2728ce78a4c2abcb3da3f5720bf90",4,1,6280911,"LA HUERTA","251 y más personas","Industria alimentaria","Fijo","Secundario"
"66-96-44-94","d1d2728ce78a4c2abcb3da3f5720bf90",5,1,6280911,"LA HUERTA","251 y más personas","Industria alimentaria","Fijo","Secundario"
"22-07-32-82","d4fed762504b4d069f64e088d7f8f372",1,1,1249,"BIRRIERÍA LOS PEPES","0 a 5 personas","Restaurantes / servicio de preparación de alimentos / Cafeterías y similares","Fijo","Terciario"
"22-07-32-82","d4fed762504b4d069f64e088d7f8f372",4,1,1249,"BIRRIERÍA LOS PEPES","0 a 5 personas","Restaurantes / servicio de preparación de alimentos / Cafeterías y similares","Fijo","Terciario"
"76-78-39-65","e2384bfb8499416588876acf639bb577",2,1,24216,"ESTANCIA DE BIENESTAR Y DESARROLLO INFANTIL NÚMERO 102","31 a 50 personas","Guarderías del sector privado o público","Fijo","Terciario"
"32-18-32-76","eb616622ccdd48c0ac270ee4b9e79363",1,1,99999533,"NA","NA","NA","NA","NA"
"64-09-01-53","f3a157b9cec644f3af5825a515ae208b",1,1,99999536,"NA","NA","NA","NA","NA"
"78-93-31-45","e698762e18fa44f485bd5463698b969a",2,1,99999425,"NA","NA","NA","NA","NA"
"31-01-70-00","e7fc04d2dd944638912eaec34924cfe1",1,1,8221,"COFFEE DHAY","0 a 5 personas","Restaurantes / servicio de preparación de alimentos / Cafeterías y similares","Fijo","Terciario"
"65-51-61-06","f228089ced0b4db5bc9c33c4a33a0cd7",1,1,1168,"CARNITAS SAN PANCHO","11 a 30 personas","Restaurantes / servicio de preparación de alimentos / Cafeterías y similares","Fijo","Terciario"
"65-51-61-06","f228089ced0b4db5bc9c33c4a33a0cd7",4,1,1168,"CARNITAS SAN PANCHO","11 a 30 personas","Restaurantes / servicio de preparación de alimentos / Cafeterías y similares","Fijo","Terciario"
"78-93-50-99","f7a32ec224c347f8b394e29cecddc24b",1,4,8249,"FRUTAS FINAS VALENCIANO","0 a 5 personas","Comercio al por menor de frutas y verduras frescas","Fijo","Terciario"
